place_name,menu_name,menu_price
또와또 본점,자연치즈,-
또와또 본점,볶음밥,-
또와또 본점,음료수,-
비일,All day,-
비일,Dinner,-
탕화쿵푸마라탕 숙대점,마라탕,-
탕화쿵푸마라탕 숙대점,마라향궈,-
탕화쿵푸마라탕 숙대점,마라반,-
탕화쿵푸마라탕 숙대점,꿔바로우小,-
탕화쿵푸마라탕 숙대점,꿔바로우大,-
탕화쿵푸마라탕 숙대점,미니전,-
춘리마라탕 숙대점,대한민국 대표 마라탕(1인분),-
춘리마라탕 숙대점,대한민국 대표 마라탕(2~3인분),-
춘리마라탕 숙대점,셀프 마라탕(숙주포함),-
춘리마라탕 숙대점,불맛 일품 마라샹궈(1인분),-
춘리마라탕 숙대점,불맛 일품 마라샹궈(2~3인분),-
춘리마라탕 숙대점,대한민국 대표 마라탕(1인분),-
춘리마라탕 숙대점,대한민국 대표 마라탕(2~3인분),-
춘리마라탕 숙대점,셀프 마라탕(숙주포함),-
춘리마라탕 숙대점,불맛 일품 마라샹궈(1인분),-
춘리마라탕 숙대점,불맛 일품 마라샹궈(2~3인분),-
춘리마라탕 숙대점,빙홍차(490ml),-
춘리마라탕 숙대점,펩시콜라(355ml),-
춘리마라탕 숙대점,사이다(355ml),-
춘리마라탕 숙대점,펩시 제로콜라(355ml),-
춘리마라탕 숙대점,사이다 제로(355ml),-
타코비 숙명여대점,오리지널(7/10/15알),-
타코비 숙명여대점,갈릭치즈(7/10/15알),-
타코비 숙명여대점,와사비마요(7/10/15알),-
타코비 숙명여대점,치즈맛(7/10/15알),-
타코비 숙명여대점,명란마요(7/10/15알),-
타코비 숙명여대점,매운맛(7/10/15알),-
타코비 숙명여대점,아주매운맛(7/10/15알),-
타코비 숙명여대점,매콤치즈(7/10/15알),-
타코비 숙명여대점,매콤갈릭(7/10/15알),-
타코비 숙명여대점,매콤명란(7/10/15알),-
홍곱창 숙명여대점,데리야끼막창,-
홍곱창 숙명여대점,야채곱창,-
홍곱창 숙명여대점,핵마늘막창,-
홍곱창 숙명여대점,불곱창,-
홍곱창 숙명여대점,순대곱창,-
홍곱창 숙명여대점,알곱창,-
홍곱창 숙명여대점,치즈불곱창,-
홍곱창 숙명여대점,소금구이막창,-
홍곱창 숙명여대점,양념막창,-
홍곱창 숙명여대점,불막창,-
다온베이글,솔티드 아인슈페너,-
다온베이글,프로슈토 베이글 샌드위치,-
다온베이글,수제 카이막 베이글,-
다온베이글,수제 밀크티,-
다온베이글,포테이토 치즈 베이글,-
다온베이글,플레인 베이글,-
다온베이글,솔티드 아인슈페너 라떼,-
다온베이글,참깨 베이글,-
다온베이글,에브리띵 베이글,-
다온베이글,바질 베이글,-
다온베이글,블루베리 베이글,-
다온베이글,초콜릿 베이글,-
다온베이글,페퍼로니 피자 베이글,-
다온베이글,초코나무숲 베이글,-
다온베이글,스윗펌킨 치즈 베이글,-
빨봉분식 숙명여대점,빨봉떡볶이,-
빨봉분식 숙명여대점,빨봉돈까스,-
